"","X","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct","n_extinctions","correlation","treatment_label","correlation_label","n_extinctions_label","extinction_label","treatment_label_bis","return_point","return_time","distance2extinct"
"1",1,1,1,1,1,1,"Tet",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"2",2,2,1,2,1,2,"Ble",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"3",3,3,1,3,1,3,"Ble",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"4",4,4,1,4,1,4,"Ble",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"5",5,5,1,5,2,1,"Col",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"6",6,6,1,6,2,2,"Col",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"7",7,7,1,7,2,3,"Tet",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"8",8,8,1,8,2,4,"Ble",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"9",9,9,1,9,3,1,"Col",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"10",10,10,1,10,3,2,"Tet",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"11",11,11,1,11,3,3,"Col",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"12",12,12,1,12,3,4,"Ble",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"13",13,13,1,13,4,1,"Col",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"14",14,14,1,14,4,2,"Ble",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"15",15,15,1,15,4,3,"Tet",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"16",16,16,1,16,4,4,"Tet",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
"17",17,17,2,1,1,1,"Col",FALSE,0,NA,0,FALSE,0,"Dispersed extinctions","0 extinction","Non-extinct patches","Control",0,0,0
