"","file","date","time","magnification","landscape","tube_id","position","measure_point","initial_species","extinction","n_extinctions","correlation","bioarea","Tet","Col","Ble","Ble_shadow","Unassigned","local_simpson","landscape_simpson","hours"
"1","sample_0001","2019-03-18",10,1,1,1,1,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"2","sample_0002","2019-03-18",10,1,1,2,2,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"3","sample_0003","2019-03-18",10,1,1,3,3,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"4","sample_0004","2019-03-18",10,1,1,4,4,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"5","sample_0005","2019-03-18",10,1,1,5,5,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"6","sample_0006","2019-03-18",10,1,1,6,6,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"7","sample_0007","2019-03-18",10,1,1,7,7,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"8","sample_0008","2019-03-18",10,1,1,8,8,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"9","sample_0009","2019-03-18",10,1,1,9,9,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"10","sample_0010","2019-03-18",10,1,1,10,10,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"11","sample_0011","2019-03-18",10,1,1,11,11,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"12","sample_0012","2019-03-18",10,1,1,12,12,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"13","sample_0013","2019-03-18",10,1,1,13,13,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.60431122951872,0
"14","sample_0014","2019-03-18",10,1,1,14,14,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.60431122951872,0
"15","sample_0015","2019-03-18",10,1,1,15,15,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"16","sample_0016","2019-03-18",10,1,1,16,16,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.60431122951872,0
"17","sample_0017","2019-03-18",10,1,2,17,1,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"18","sample_0018","2019-03-18",10,1,2,18,2,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"19","sample_0019","2019-03-18",10,1,2,19,3,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"20","sample_0020","2019-03-18",10,1,2,20,4,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"21","sample_0021","2019-03-18",10,1,2,21,5,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"22","sample_0022","2019-03-18",10,1,2,22,6,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"23","sample_0023","2019-03-18",10,1,2,23,7,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"24","sample_0024","2019-03-18",10,1,2,24,8,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"25","sample_0025","2019-03-18",10,1,2,25,9,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"26","sample_0026","2019-03-18",10,1,2,26,10,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"27","sample_0027","2019-03-18",10,1,2,27,11,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"28","sample_0028","2019-03-18",10,1,2,28,12,"t0","Col",FALSE,0,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"29","sample_0029","2019-03-18",10,1,2,29,13,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"30","sample_0030","2019-03-18",10,1,2,30,14,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"31","sample_0031","2019-03-18",10,1,2,31,15,"t0","Tet",FALSE,0,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"32","sample_0032","2019-03-18",10,1,2,32,16,"t0","Ble",FALSE,0,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
