,file,date,time,magnification,community,replicate,measure_point,Tet,Pca,Col,Ble,Ble_shadow,hours
1,sample_0001,2019-01-14,10,1,Tet,1,t0,509.702647199482,0,0,0,0,0
2,sample_0002,2019-01-14,10,1,Tet,2,t0,509.702647199482,0,0,0,0,0
3,sample_0003,2019-01-14,10,1,Tet,3,t0,509.702647199482,0,0,0,0,0
4,sample_0004,2019-01-14,10,1,Pca,1,t0,0,8.58581596196585,0,0,0,0
5,sample_0005,2019-01-14,10,1,Pca,2,t0,0,8.58581596196585,0,0,0,0
6,sample_0006,2019-01-14,10,1,Pca,3,t0,0,8.58581596196585,0,0,0,0
7,sample_0007,2019-01-14,10,1,Col,1,t0,0,0,90.0188482853687,0,0,0
8,sample_0008,2019-01-14,10,1,Col,2,t0,0,0,90.0188482853687,0,0,0
9,sample_0009,2019-01-14,10,1,Col,3,t0,0,0,90.0188482853687,0,0,0
10,sample_0010,2019-01-14,10,1,Ble,1,t0,0,0,0,1.64008214476608,0,0
11,sample_0011,2019-01-14,10,1,Ble,2,t0,0,0,0,1.64008214476608,0,0
12,sample_0012,2019-01-14,10,1,Ble,3,t0,0,0,0,1.64008214476608,0,0
13,sample_0013,2019-01-14,10,1,Ble_Tet,1,t0,509.702647199482,0,0,1.64008214476608,0,0
14,sample_0014,2019-01-14,10,1,Ble_Tet,2,t0,509.702647199482,0,0,1.64008214476608,0,0
15,sample_0015,2019-01-14,10,1,Ble_Tet,3,t0,509.702647199482,0,0,1.64008214476608,0,0
16,sample_0016,2019-01-14,10,1,Ble_Pca,1,t0,0,8.58581596196585,0,1.64008214476608,0,0
17,sample_0017,2019-01-14,10,1,Ble_Pca,2,t0,0,8.58581596196585,0,1.64008214476608,0,0
18,sample_0018,2019-01-14,10,1,Ble_Pca,3,t0,0,8.58581596196585,0,1.64008214476608,0,0
19,sample_0019,2019-01-14,10,1,Ble_Col,1,t0,0,0,90.0188482853687,1.64008214476608,0,0
20,sample_0020,2019-01-14,10,1,Ble_Col,2,t0,0,0,90.0188482853687,1.64008214476608,0,0
21,sample_0021,2019-01-14,10,1,Ble_Col,3,t0,0,0,90.0188482853687,1.64008214476608,0,0
22,sample_0022,2019-01-14,10,1,Tet_Ble_Pca,1,t0,509.702647199482,8.58581596196585,0,1.64008214476608,0,0
23,sample_0023,2019-01-14,10,1,Tet_Ble_Pca,2,t0,509.702647199482,8.58581596196585,0,1.64008214476608,0,0
24,sample_0024,2019-01-14,10,1,Tet_Ble_Pca,3,t0,509.702647199482,8.58581596196585,0,1.64008214476608,0,0
25,sample_0025,2019-01-14,10,1,Tet_Ble_Col,1,t0,509.702647199482,0,90.0188482853687,1.64008214476608,0,0
26,sample_0026,2019-01-14,10,1,Tet_Ble_Col,2,t0,509.702647199482,0,90.0188482853687,1.64008214476608,0,0
27,sample_0027,2019-01-14,10,1,Tet_Ble_Col,3,t0,509.702647199482,0,90.0188482853687,1.64008214476608,0,0
28,sample_0001,2019-01-14,17,1,Tet,1,t1,1424.53652910232,0,0,0,0,7
29,sample_0002,2019-01-14,17,1,Tet,2,t1,912.031957689819,0,0,0,0,7
30,sample_0003,2019-01-14,17,1,Tet,3,t1,724.786901848257,0,0,0,0,7
31,sample_0004,2019-01-14,17,1,Pca,1,t1,0,0,0,0,0,7
32,sample_0005,2019-01-14,17,1,Pca,2,t1,0,8.32700368526177,0,0,0,7
33,sample_0006,2019-01-14,17,1,Pca,3,t1,0,1.40658846034827,0,0,0,7
34,sample_0007,2019-01-14,17,1,Col,1,t1,0,0,164.402059245506,0,0,7
35,sample_0008,2019-01-14,17,1,Col,2,t1,0,0,204.292907980983,0,0,7
36,sample_0009,2019-01-14,17,1,Col,3,t1,0,0,147.410470644499,0,0,7
37,sample_0010,2019-01-14,17,1,Ble,1,t1,0,0,0,8.49579430050356,0,7
38,sample_0011,2019-01-14,17,1,Ble,2,t1,0,0,0,0,0,7
39,sample_0012,2019-01-14,17,1,Ble,3,t1,0,0,0,5.40129968773736,0,7
40,sample_0013,2019-01-14,17,1,Ble_Tet,1,t1,636.565673615214,0,0,5.79514445663488,0,7
41,sample_0014,2019-01-14,17,1,Ble_Tet,2,t1,1091.90648999916,0,0,0,0,7
42,sample_0015,2019-01-14,17,1,Ble_Tet,3,t1,947.984358736321,0,0,0,0,7
43,sample_0016,2019-01-14,17,1,Ble_Pca,1,t1,0,13.6720398345852,0,0,0,7
44,sample_0017,2019-01-14,17,1,Ble_Pca,2,t1,0,0,0,0,0,7
45,sample_0018,2019-01-14,17,1,Ble_Pca,3,t1,0,8.66458491574535,0,0,0,7
46,sample_0019,2019-01-14,17,1,Ble_Col,1,t1,0,0,139.308521112893,8.49579430050356,0,7
