"","id","extinctions","replicate","cor","maxdistance2nonextinct","averagedistance2nonextinct","pladj","averageconnectivity2nonextinct"
"1",1,0,1,FALSE,-Inf,NA,NA,NA
"2",2,0,2,FALSE,-Inf,NA,NA,NA
"3",3,0,3,FALSE,-Inf,NA,NA,NA
"4",4,0,4,FALSE,-Inf,NA,NA,NA
"5",5,0,5,FALSE,-Inf,NA,NA,NA
"6",6,0,6,FALSE,-Inf,NA,NA,NA
"7",7,0,7,FALSE,-Inf,NA,NA,NA
"8",8,0,8,FALSE,-Inf,NA,NA,NA
"9",9,0,9,FALSE,-Inf,NA,NA,NA
"10",10,0,10,FALSE,-Inf,NA,NA,NA
"11",11,0,1,TRUE,-Inf,NA,NA,NA
"12",12,0,2,TRUE,-Inf,NA,NA,NA
"13",13,0,3,TRUE,-Inf,NA,NA,NA
"14",14,0,4,TRUE,-Inf,NA,NA,NA
"15",15,0,5,TRUE,-Inf,NA,NA,NA
"16",16,0,6,TRUE,-Inf,NA,NA,NA
"17",17,0,7,TRUE,-Inf,NA,NA,NA
"18",18,0,8,TRUE,-Inf,NA,NA,NA
"19",19,0,9,TRUE,-Inf,NA,NA,NA
"20",20,0,10,TRUE,-Inf,NA,NA,NA
"21",21,2,1,FALSE,1,1,0,3
"22",22,2,2,FALSE,1,1,0,3
"23",23,2,3,FALSE,1,1,0,3
"24",24,2,4,FALSE,1,1,0,3
"25",25,2,5,FALSE,1,1,0,3
"26",26,2,6,FALSE,1,1,0,3
"27",27,2,7,FALSE,1,1,0,3
"28",28,2,8,FALSE,1,1,0,3
"29",29,2,9,FALSE,1,1,0,3
"30",30,2,10,FALSE,1,1,0,3
"31",31,2,1,TRUE,1,1,25,2
"32",32,2,2,TRUE,1,1,25,2
"33",33,2,3,TRUE,1,1,25,2
"34",34,2,4,TRUE,1,1,25,2
"35",35,2,5,TRUE,1,1,25,2
"36",36,2,6,TRUE,1,1,25,2
"37",37,2,7,TRUE,1,1,25,2
"38",38,2,8,TRUE,1,1,25,2
"39",39,2,9,TRUE,1,1,25,2
"40",40,2,10,TRUE,1,1,25,2
"41",41,3,1,FALSE,1,1,0,3
"42",42,3,2,FALSE,1,1,0,3
"43",43,3,3,FALSE,1,1,0,3
"44",44,3,4,FALSE,1,1,0,3
"45",45,3,5,FALSE,1,1,0,3
"46",46,3,6,FALSE,1,1,0,3
"47",47,3,7,FALSE,1,1,0,3
"48",48,3,8,FALSE,1,1,0,3
"49",49,3,9,FALSE,1,1,0,3
"50",50,3,10,FALSE,1,1,0,3
"51",51,3,1,TRUE,1,1,33.3333333333333,1.66666666666667
"52",52,3,2,TRUE,1,1,33.3333333333333,1.66666666666667
"53",53,3,3,TRUE,1,1,33.3333333333333,1.66666666666667
"54",54,3,4,TRUE,1,1,33.3333333333333,1.66666666666667
"55",55,3,5,TRUE,1,1,33.3333333333333,1.66666666666667
"56",56,3,6,TRUE,1,1,33.3333333333333,1.66666666666667
"57",57,3,7,TRUE,1,1,33.3333333333333,1.66666666666667
"58",58,3,8,TRUE,1,1,33.3333333333333,1.66666666666667
"59",59,3,9,TRUE,1,1,33.3333333333333,1.66666666666667
"60",60,3,10,TRUE,1,1,33.3333333333333,1.66666666666667
"61",61,4,1,FALSE,1,1,0,3
"62",62,4,2,FALSE,1,1,0,3
"63",63,4,3,FALSE,1,1,0,3
"64",64,4,4,FALSE,1,1,0,3
"65",65,4,5,FALSE,1,1,0,3
"66",66,4,6,FALSE,1,1,0,3
"67",67,4,7,FALSE,1,1,0,3
"68",68,4,8,FALSE,1,1,0,3
"69",69,4,9,FALSE,1,1,0,3
"70",70,4,10,FALSE,1,1,0,3
"71",71,4,1,TRUE,2,1.25,50,1
"72",72,4,2,TRUE,2,1.25,50,1
"73",73,4,3,TRUE,2,1.25,50,1
"74",74,4,4,TRUE,2,1.25,50,1
"75",75,4,5,TRUE,2,1.25,50,1
"76",76,4,6,TRUE,2,1.25,50,1
"77",77,4,7,TRUE,2,1.25,50,1
"78",78,4,8,TRUE,2,1.25,50,1
"79",79,4,9,TRUE,2,1.25,50,1
"80",80,4,10,TRUE,2,1.25,50,1
"81",81,5,1,FALSE,1,1,0,3
"82",82,5,2,FALSE,1,1,0,3
"83",83,5,3,FALSE,1,1,0,3
"84",84,5,4,FALSE,1,1,0,3
"85",85,5,5,FALSE,1,1,0,3
"86",86,5,6,FALSE,1,1,0,3
"87",87,5,7,FALSE,1,1,0,3
"88",88,5,8,FALSE,1,1,0,3
"89",89,5,9,FALSE,1,1,0,3
"90",90,5,10,FALSE,1,1,0,3
"91",91,5,1,TRUE,2,1.4,50,1
"92",92,5,2,TRUE,2,1.4,50,1
"93",93,5,3,TRUE,2,1.4,50,1
"94",94,5,4,TRUE,2,1.4,50,1
"95",95,5,5,TRUE,2,1.4,50,1
"96",96,5,6,TRUE,2,1.4,50,1
"97",97,5,7,TRUE,2,1.4,50,1
"98",98,5,8,TRUE,2,1.4,50,1
"99",99,5,9,TRUE,2,1.4,50,1
"100",100,5,10,TRUE,2,1.4,50,1
"101",101,6,1,FALSE,1,1,0,3
"102",102,6,2,FALSE,1,1,0,3
"103",103,6,3,FALSE,1,1,0,3
"104",104,6,4,FALSE,1,1,0,3
"105",105,6,5,FALSE,1,1,0,3
"106",106,6,6,FALSE,1,1,0,3
"107",107,6,7,FALSE,1,1,0,3
"108",108,6,8,FALSE,1,1,0,3
"109",109,6,9,FALSE,1,1,0,3
"110",110,6,10,FALSE,1,1,0,3
"111",111,6,1,TRUE,2,1.33333333333333,50,1
"112",112,6,2,TRUE,2,1.33333333333333,50,1
"113",113,6,3,TRUE,2,1.33333333333333,50,1
"114",114,6,4,TRUE,2,1.33333333333333,50,1
"115",115,6,5,TRUE,2,1.33333333333333,50,1
"116",116,6,6,TRUE,2,1.33333333333333,50,1
"117",117,6,7,TRUE,2,1.33333333333333,50,1
"118",118,6,8,TRUE,2,1.33333333333333,50,1
"119",119,6,9,TRUE,2,1.33333333333333,50,1
"120",120,6,10,TRUE,3,1.66666666666667,50,1
"121",121,7,1,FALSE,1,1,0,3
"122",122,7,2,FALSE,1,1,0,3
"123",123,7,3,FALSE,1,1,0,3
"124",124,7,4,FALSE,1,1,0,3
"125",125,7,5,FALSE,1,1,0,3
"126",126,7,6,FALSE,1,1,0,3
"127",127,7,7,FALSE,1,1,0,3
"128",128,7,8,FALSE,1,1,0,3
"129",129,7,9,FALSE,1,1,0,3
"130",130,7,10,FALSE,1,1,0,3
