"","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct"
"1",1,1,1,1,1,"Col",FALSE,0,NA
"2",2,1,2,1,2,"Col",FALSE,0,NA
"3",3,1,3,1,3,"Tet",FALSE,0,NA
"4",4,1,4,1,4,"Ble",FALSE,0,NA
"5",5,1,5,2,1,"Col",FALSE,0,NA
"6",6,1,6,2,2,"Tet",FALSE,0,NA
"7",7,1,7,2,3,"Tet",FALSE,0,NA
"8",8,1,8,2,4,"Col",FALSE,0,NA
"9",9,1,9,3,1,"Tet",FALSE,0,NA
"10",10,1,10,3,2,"Col",FALSE,0,NA
"11",11,1,11,3,3,"Ble",FALSE,0,NA
"12",12,1,12,3,4,"Tet",FALSE,0,NA
"13",13,1,13,4,1,"Ble",FALSE,0,NA
"14",14,1,14,4,2,"Ble",FALSE,0,NA
"15",15,1,15,4,3,"Col",FALSE,0,NA
"16",16,1,16,4,4,"Ble",FALSE,0,NA
"17",17,2,1,1,1,"Col",FALSE,0,NA
"18",18,2,2,1,2,"Ble",FALSE,0,NA
"19",19,2,3,1,3,"Col",FALSE,0,NA
"20",20,2,4,1,4,"Ble",FALSE,0,NA
"21",21,2,5,2,1,"Col",FALSE,0,NA
"22",22,2,6,2,2,"Tet",TRUE,1,4
"23",23,2,7,2,3,"Ble",FALSE,0,NA
"24",24,2,8,2,4,"Tet",TRUE,1,3
"25",25,2,9,3,1,"Ble",FALSE,0,NA
"26",26,2,10,3,2,"Ble",FALSE,0,NA
"27",27,2,11,3,3,"Col",FALSE,0,NA
"28",28,2,12,3,4,"Tet",FALSE,0,NA
"29",29,2,13,4,1,"Tet",TRUE,1,2
"30",30,2,14,4,2,"Col",FALSE,0,NA
"31",31,2,15,4,3,"Col",TRUE,1,3
"32",32,2,16,4,4,"Tet",FALSE,0,NA
"33",33,3,1,1,1,"Ble",FALSE,0,NA
"34",34,3,2,1,2,"Ble",FALSE,0,NA
"35",35,3,3,1,3,"Col",FALSE,0,NA
"36",36,3,4,1,4,"Tet",FALSE,0,NA
"37",37,3,5,2,1,"Col",FALSE,0,NA
"38",38,3,6,2,2,"Col",FALSE,0,NA
"39",39,3,7,2,3,"Col",FALSE,0,NA
"40",40,3,8,2,4,"Tet",FALSE,0,NA
"41",41,3,9,3,1,"Tet",TRUE,1,1
"42",42,3,10,3,2,"Tet",TRUE,1,2
"43",43,3,11,3,3,"Ble",FALSE,0,NA
"44",44,3,12,3,4,"Ble",FALSE,0,NA
"45",45,3,13,4,1,"Ble",TRUE,2,0
"46",46,3,14,4,2,"Tet",TRUE,1,1
"47",47,3,15,4,3,"Col",FALSE,0,NA
"48",48,3,16,4,4,"Ble",FALSE,0,NA
"49",49,4,1,1,1,"Tet",TRUE,1,2
"50",50,4,2,1,2,"Tet",FALSE,0,NA
"51",51,4,3,1,3,"Tet",TRUE,1,3
"52",52,4,4,1,4,"Col",FALSE,0,NA
"53",53,4,5,2,1,"Ble",FALSE,0,NA
"54",54,4,6,2,2,"Ble",TRUE,1,4
"55",55,4,7,2,3,"Ble",FALSE,0,NA
"56",56,4,8,2,4,"Col",TRUE,1,3
"57",57,4,9,3,1,"Ble",TRUE,1,3
"58",58,4,10,3,2,"Ble",FALSE,0,NA
"59",59,4,11,3,3,"Col",TRUE,1,4
"60",60,4,12,3,4,"Tet",FALSE,0,NA
"61",61,4,13,4,1,"Tet",FALSE,0,NA
"62",62,4,14,4,2,"Col",TRUE,1,3
"63",63,4,15,4,3,"Col",FALSE,0,NA
"64",64,4,16,4,4,"Col",TRUE,1,2
"65",65,5,1,1,1,"Tet",FALSE,0,NA
"66",66,5,2,1,2,"Col",FALSE,0,NA
"67",67,5,3,1,3,"Col",FALSE,0,NA
"68",68,5,4,1,4,"Ble",FALSE,0,NA
"69",69,5,5,2,1,"Tet",FALSE,0,NA
"70",70,5,6,2,2,"Tet",FALSE,0,NA
"71",71,5,7,2,3,"Ble",FALSE,0,NA
"72",72,5,8,2,4,"Tet",FALSE,0,NA
"73",73,5,9,3,1,"Col",TRUE,1,1
"74",74,5,10,3,2,"Col",TRUE,1,1
"75",75,5,11,3,3,"Tet",TRUE,1,1
"76",76,5,12,3,4,"Ble",TRUE,1,1
"77",77,5,13,4,1,"Tet",TRUE,2,0
"78",78,5,14,4,2,"Col",TRUE,2,0
